id,title,link,published,summary,author
0,Niños del Estado Islámico asesinan a 25 soldados sirios,http://www.eluniversal.com.mx/el-mundo/2015/ninios-del-estado-islamico-asesinan-a-25-soldados-sirios-1111830.html,"Sat, 04 Jul 2015 12:27:00 CST",Yihadistas publican video donde aparecen las víctimas de rodillas y en fila en el escenario del teatro romano de Palmira,EFE
1,Fidel reaparece en reunión de maestros queseros,http://www.eluniversal.com.mx/el-mundo/2015/fidel-reaparece-en-reunion-de-maestros-queseros-1111829.html,"Sat, 04 Jul 2015 11:46:00 CST",Sostuvo un amplio intercambio de más de cuatro horas con 19 maestros queseros en un instituto en el poblado del Guatao,EFE
2,Enrique Iglesias complace a miles de fans,http://www.eluniversal.com.mx/espectaculos/2015/enrique-iglesias-complace-fans-auditorio-1111828.html,"Sat, 04 Jul 2015 11:38:00 CST","Con I like it, el cantante finalizó su concierto de anoche",Cristina Pineda
3,Kutcher y Mila Kunis se casarían este fin de semana,http://www.eluniversal.com.mx/espectaculos/2015/kutcher-kunis-boda-1111827.html,"Sat, 04 Jul 2015 11:09:00 CST","Según el portal estadounidense Page Six, la pareja dará el sí en una ceremonia privada en Los Angeles",El Mercurio/GDA
4,Van 59 muertos en el último naufragio en Filipinas,http://www.eluniversal.com.mx/el-mundo/2015/van-59-muertos-en-el-ultimo-naufragio-en-filipinas-1111826.html,"Sat, 04 Jul 2015 02:30:00 CST","La Policía de Ormoc, ciudad portuaria de la provincia de Leyte, presentó anoche cargos criminales contra los dueños, el capitán y la tripulación, de acuerdo con GMA",EFE
5,PC de Oaxaca busca reducir afectaciones por lluvias,http://www.eluniversal.com.mx/estados/2015/pc-de-oaxaca-busca-reducir-afectaciones-por-lluvias-1111825.html,"Sat, 04 Jul 2015 02:01:00 CST",Felipe Reyna exhortó a estar preparados para atender contingencias y emergencias ante la temporada de lluvias y ciclones tropicales en el estado a fin de implementar medidas que reduzcan los riesgos,Notimex
6,Video: Tiburón blanco ataca jaula de buzos en Sudáfrica,http://www.eluniversal.com.mx/el-mundo/2015/video-tiburon-blanco-ataca-jaula-de-buzos-en-sudafrica-1111818.html,"Sat, 04 Jul 2015 00:28:00 CST",El tiburón arremetió contra la jaula en la que se protegía Hillary Rae Petroski quien captó con su cámara el momento del ataque,El Comercio - Perú / GDA
7,"Manual privilegia DH, revira Sedena a Centro Prodh",http://www.eluniversal.com.mx/nacion-mexico/2015/manual-operativo-privilegia-dh-revira-sedena-a-centro-prodh-1111824.html,"Sat, 04 Jul 2015 00:01:00 CST",Asegura la Secretaría de la Defensa Nacional que las instrucciones del personal que participó en el Caso Tlatlaya siempre buscaron proteger la vida de las personas y de la tropa,Silvia Otero
8,Niños del Estado Islámico asesinan a 25 soldados sirios,http://www.eluniversal.com.mx/el-mundo/2015/ninios-del-estado-islamico-asesinan-a-25-soldados-sirios-1111830.html,"Sat, 04 Jul 2015 12:27:00 CST",Yihadistas publican video donde aparecen las víctimas de rodillas y en fila en el escenario del teatro romano de Palmira,EFE
9,Fidel reaparece en reunión de maestros queseros,http://www.eluniversal.com.mx/el-mundo/2015/fidel-reaparece-en-reunion-de-maestros-queseros-1111829.html,"Sat, 04 Jul 2015 11:46:00 CST",Sostuvo un amplio intercambio de más de cuatro horas con 19 maestros queseros en un instituto en el poblado del Guatao,EFE
10,Van 59 muertos en el último naufragio en Filipinas,http://www.eluniversal.com.mx/el-mundo/2015/van-59-muertos-en-el-ultimo-naufragio-en-filipinas-1111826.html,"Sat, 04 Jul 2015 02:30:00 CST","La Policía de Ormoc, ciudad portuaria de la provincia de Leyte, presentó anoche cargos criminales contra los dueños, el capitán y la tripulación, de acuerdo con GMA",EFE
11,Video: Tiburón blanco ataca jaula de buzos en Sudáfrica,http://www.eluniversal.com.mx/el-mundo/2015/video-tiburon-blanco-ataca-jaula-de-buzos-en-sudafrica-1111818.html,"Sat, 04 Jul 2015 00:28:00 CST",El tiburón arremetió contra la jaula en la que se protegía Hillary Rae Petroski quien captó con su cámara el momento del ataque,El Comercio - Perú / GDA
12,"Manual privilegia DH, revira Sedena a Centro Prodh",http://www.eluniversal.com.mx/nacion-mexico/2015/manual-operativo-privilegia-dh-revira-sedena-a-centro-prodh-1111824.html,"Sat, 04 Jul 2015 00:01:00 CST",Asegura la Secretaría de la Defensa Nacional que las instrucciones del personal que participó en el Caso Tlatlaya siempre buscaron proteger la vida de las personas y de la tropa,Silvia Otero
13,PC de Oaxaca busca reducir afectaciones por lluvias,http://www.eluniversal.com.mx/estados/2015/pc-de-oaxaca-busca-reducir-afectaciones-por-lluvias-1111825.html,"Sat, 04 Jul 2015 02:01:00 CST",Felipe Reyna exhortó a estar preparados para atender contingencias y emergencias ante la temporada de lluvias y ciclones tropicales en el estado a fin de implementar medidas que reduzcan los riesgos,Notimex
14,Entérate: ¿Qué le espera a Grecia tras el referéndum?,http://www.eluniversal.com.mx/finanzas-cartera/2015/enterate-que-le-espera-a-grecia-tras-el-referendum-1111761.html,"Fri, 03 Jul 2015 14:37:00 CST","El resultado de la votación sigue siendo poco claro, pero tanto si los griegos eligen &quot;Sí&quot; o &quot;No&quot; enfrentan un nuevo periodo de incertidumbre y agitación política",Reuters
15,Unión Europea declara a Grecia en impago,http://www.eluniversal.com.mx/finanzas-cartera/2015/union-europea-grecia-impago-1111700.html,"Fri, 03 Jul 2015 10:24:00 CST",El martes venció el plazo para que reembolsara una deuda de 1.7 mil millones de dólares al Fondo Monetario Internacional,Notimex
16,México será sede de Cumbre de Productividad,http://www.eluniversal.com.mx/finanzas-cartera/2015/mexico-sera-sede-de-cumbre-de-productividad-1111699.html,"Fri, 03 Jul 2015 10:22:00 CST","Informa la SHCP que se tiene programado crear el Consejo Iberoamericano de la Productividad y la Competitividad, además que se planteará la conformación de una red de productividad en el seno de la OCDE",Leonor Flores
17,Analistas rebajan pronóstico del PIB al 2.60% para 2015,http://www.eluniversal.com.mx/finanzas-cartera/2015/analistas-rebajan-pronostico-del-pib-al-260-para-2015-1111691.html,"Fri, 03 Jul 2015 09:32:00 CST","De acuerdo con un sondeo de Banxico, los especialistas privados subieron el pronóstico para la paridad de la moneda mexicana contra el dólar, a 15.26 pesos por billete verde desde 15.08",Leonor Flores
18,Bolsa de NY cerrada por festivo del Día de la Independencia,http://www.eluniversal.com.mx/finanzas-cartera/2015/bolsa-de-ny-cerrada-por-festivo-del-dia-de-la-independencia-1111689.html,"Fri, 03 Jul 2015 09:30:00 CST","Los principales marcadores cerraron la víspera con ligeros cambios, en medio de datos positivos del mercado laboral estadunidense y de preocupaciones en torno a la crisis griega",Notimex
19,Bolsa Mexicana pierde 0.24%,http://www.eluniversal.com.mx/finanzas-cartera/2015/bmv-pierde-ipc-1111687.html,"Fri, 03 Jul 2015 09:16:00 CST","La BMV pierde 109.58 puntos o 0.24 por ciento menos respecto a su nivel previo, al colocar el Índice de Precios y Cotizaciones (IPC) en 45 mil 095.64 unidades",Notimex
20,Venden dólar en 15.78 en AICM,http://www.eluniversal.com.mx/finanzas-cartera/2015/dolar-en-1578-la-venta-en-promedio-en-aicm-1111677.html,"Fri, 03 Jul 2015 07:55:00 CST",El billete verde se ofrece hasta en 15.80 pesos y se adquiere en una menor cotización de 14.62 pesos,NTX
21,Interesa a Ricardo Salinas red compartida en telecom,http://www.eluniversal.com.mx/finanzas-cartera/2015/interesa-a-ricardo-salinas-en-red-compartida--1111672.html,"Fri, 03 Jul 2015 06:52:00 CST","Grupo Salinas tiene la capacidad para participar en el

proyecto, dijo en una entrevista Eduardo Kuri, el director de Totalplay",Reuters
23,Se cotiza Brent en 61.55 dólares,http://www.eluniversal.com.mx/finanzas-cartera/2015/se-cotiza-brent-en-6155-dolares-1111652.html,"Fri, 03 Jul 2015 03:33:00 CST","El Brent perdía este viernes 42 centavos de dólar (0.68 por ciento) respecto al cierre previo, de 61.97 dólares por barril",Notimex
24,Las principales bolsas europeas abren a la baja,http://www.eluniversal.com.mx/finanzas-cartera/2015/las-principales-bolsas-europeas-abren-a-la-baja-1111651.html,"Fri, 03 Jul 2015 02:56:00 CST",Los inversionistas se mantuvieron cautelosos ante la situación en Grecia,Notimex
25,Bolsa de Tokio cierra con alza del 0.08 por ciento,http://www.eluniversal.com.mx/finanzas-cartera/2015/bolsa-de-tokio-cierra-con-alza-del-008-por-ciento-1111648.html,"Fri, 03 Jul 2015 02:18:00 CST",Los principales indicadores chinos cerraron viernes con fuertes caídas,Notimex
26,Enrique Iglesias complace a miles de fans,http://www.eluniversal.com.mx/espectaculos/2015/enrique-iglesias-complace-fans-auditorio-1111828.html,"Sat, 04 Jul 2015 11:38:00 CST","Con I like it, el cantante finalizó su concierto de anoche",Cristina Pineda
27,Kutcher y Mila Kunis se casarían este fin de semana,http://www.eluniversal.com.mx/espectaculos/2015/kutcher-kunis-boda-1111827.html,"Sat, 04 Jul 2015 11:09:00 CST","Según el portal estadounidense Page Six, la pareja dará el sí en una ceremonia privada en Los Angeles",El Mercurio/GDA
28,"Los libros del verano, en Confabulario",http://www.eluniversal.com.mx/cultura/2015/libros-confabulario-temporada-1111808.html,"Fri, 03 Jul 2015 18:42:00 CST","Reseñas de textos de diversas temáticas y una remembranza al escritor Gustavo Sainz, fallecido el 26 de junio es parte del contenido de este número",Redacción
29,Autoridades alemanas decomisan tanque nazi,http://www.eluniversal.com.mx/cultura/2015/alemania-decomisa-tanque-nazi-1111802.html,"Fri, 03 Jul 2015 18:11:00 CST",Pertenecía a un coleccionista que llamó la atención de las autoridades durante una investigación al mercado negro de arte de la Segunda Guerra Mundial,AP
30,Conaculta e INBA lamentan muerte de Gustavo Sainz,http://www.eluniversal.com.mx/cultura/2015/conaculta-inba-gustavo-sainz-1111785.html,"Fri, 03 Jul 2015 16:19:00 CST",Ambas instituciones destacaron la vocación experimental del autor de &quot;Gazapo&quot;,Notimex
