Page,Codename,URL,"Total Interactions",Likes,Comments,Shares,"Owned Post Views","Owned Views from Shares","Owned Total Views","Percentage Views from Owned Posts","Views on Shared Posts","Views While Live","Video Time","3-Min+ Videos",Loves,Wows,Hahas,Sads,Angrys,"All Interaction Rate",Photos,Links,Statuses,"Facebook Videos","Other Videos","Total Posts","Photo Posts","Link Posts","Status Posts","Owned Video Posts","Shared Video Posts","Other Video Posts","Posts Per Day","Page Likes","Page Growth","Page Growth %"
"El Universal Online",ElUniversalOnline,http://www.facebook.com/54013055680,"86,130,280","28,764,112","6,316,869","21,933,730","87,637,659","21,313,973","108,951,632",80%,"15,419,565.00","6,664,656",30:34:56,135,"4,861,282","4,413,789","9,910,856","2,824,924","7,104,718",0.07%,0.02%,0.07%,0.01%,0.04%,0.13%,30408,1584,26398,1,1469,953,3,83.31,"4,426,844","390,104.00",9.66%
"Cultura Colectiva",CulturaColectiv,http://www.facebook.com/631575563520028,"70,641,404","28,035,373","4,484,194","22,982,382","639,478,157","261,462,662","900,940,819",71%,"30,501,922.00","73,209",145:46:50,"2,211","6,882,187","2,915,537","3,018,794","1,685,102","637,835",0.01%,0.02%,0.01%,0.00%,0.03%,0.00%,23460,539,19185,28,3369,336,3,64.27,"23,568,583","191,018.00",0.82%
"Noticieros Televisa",NoticierosTelevisacom,http://www.facebook.com/105624182802445,"56,359,304","21,705,139","4,383,683","16,074,323","928,386,693","146,287,756","1,074,674,449",86%,"74,176,927.00","37,075,701",974:32:52,"6,163","2,417,814","3,402,833","3,449,634","1,991,035","2,934,843",0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,75270,1525,47622,48,22867,3185,23,206.22,"6,957,444","725,785.00",11.65%
sdpnoticias,sdpnoticias,http://www.facebook.com/107178335973554,"55,277,350","18,254,093","4,723,453","11,219,609","78,731,074","27,668,547","106,399,621",74%,"6,548,070.00","669,083",64:41:13,431,"2,427,993","2,925,838","10,692,205","1,816,610","3,217,549",0.04%,0.04%,0.04%,0.01%,0.05%,0.00%,26458,240,24880,4,1202,131,1,72.49,"5,074,161","141,499.00",2.87%
"Azteca Noticias",AztecaNoticias,http://www.facebook.com/110966012298406,"46,485,710","17,757,114","2,576,480","14,204,320","961,262,136","292,857,790","1,254,119,926",77%,"10,270,604.00","3,124,631",387:56:27,"2,013","2,836,235","3,205,476","2,021,287","1,514,332","2,370,466",0.02%,0.02%,0.01%,0.00%,0.03%,0.00%,30463,2450,16002,17,11523,463,8,83.46,"8,100,650","903,630.00",12.56%
"El Deforma",Eldeforma,http://www.facebook.com/174058432636166,"43,200,189","7,355,494","1,952,745","11,053,322","107,318,384","72,384,144","179,702,528",60%,"903,756.00","81,661",09:50:29,38,"1,313,640","598,720","20,115,804","569,771","240,693",0.13%,0.26%,0.11%,0.05%,0.45%,--,8114,253,7507,31,303,20,0,22.23,"4,539,610","579,410.00",14.63%
"El País",elpais,http://www.facebook.com/8585811569,"41,434,077","14,646,691","3,033,390","13,289,597","148,770,722","75,770,561","224,541,283",66%,"1,945,298.00","18,010,273",42:58:43,266,"2,383,737","1,375,943","1,417,088","2,288,605","2,999,026",0.04%,0.02%,0.03%,0.01%,0.09%,0.01%,24627,118,22509,13,1869,72,46,67.47,"4,910,709","433,844.00",9.69%
"Periódico El Debate",periodicoeldebate,http://www.facebook.com/154988570902,"39,274,841","14,177,511","2,434,073","11,445,110","102,097,385","29,697,720","131,795,105",77%,"788,924.00","12,873,279",26:52:56,328,"1,139,362","2,834,844","1,625,270","2,657,430","2,961,241",0.03%,0.05%,0.03%,0.02%,0.05%,--,22884,406,21017,15,1405,41,0,62.70,"5,396,804","77,936.00",1.47%
"Aristegui Noticias",AristeguiOnline,http://www.facebook.com/183919588401049,"38,886,390","15,851,864","3,926,141","6,870,638","20,176,257","2,335,983","22,512,240",90%,"1,380,498.00","3,050,963",03:42:56,3,"1,748,914","1,419,162","4,820,724","691,523","3,557,424",0.01%,0.01%,0.02%,0.00%,0.02%,--,36947,14967,21148,387,436,9,0,101.22,"7,654,122","-7,412.00",-0.10%
"Revista Proceso",revistaproceso,http://www.facebook.com/153094742922,"36,973,588","13,820,947","2,982,923","9,560,828","19,168,698","9,081,697","28,250,395",68%,"1,951,037.00","262,464",37:08:13,178,"1,351,162","1,203,755","4,120,177","610,217","3,323,579",0.04%,0.03%,0.04%,0.02%,0.10%,0.02%,21171,469,20255,60,286,100,1,58.00,"4,779,244","6,762.00",0.14%
"Forbes México",ForbesMexico,http://www.facebook.com/301003216667425,"28,458,922","10,309,068","1,797,068","7,591,541","14,556,230","7,198,591","21,754,821",67%,"625,736.00","884,601",12:30:21,99,"1,893,316","1,433,854","2,948,537","825,654","1,659,884",0.09%,0.05%,0.09%,0.07%,0.07%,0.01%,14262,182,13650,4,385,40,1,39.07,"2,374,546","243,752.00",11.44%
MILENIO,MilenioDiario,http://www.facebook.com/49729693499,"28,088,439","9,398,162","2,250,218","7,798,670","28,842,256","15,927,786","44,770,042",64%,"2,451,493.00","3,562,902",44:36:09,272,"1,515,322","1,479,233","3,415,366","745,318","1,486,150",0.05%,0.02%,0.06%,0.11%,0.06%,0.00%,35202,1063,32364,70,1406,281,18,96.44,"1,596,462","247,792.00",18.37%
"Imagen Televisión",ImagenTVMex,http://www.facebook.com/1310056059008492,"27,026,150","8,897,332","2,062,390","8,897,263","453,427,387","129,275,436","582,702,823",78%,"33,765,310.00","10,892,068",1319:02:24,"8,018","1,331,619","1,412,127","2,548,761","725,790","1,150,868",0.02%,0.00%,0.04%,0.00%,0.02%,0.00%,50023,1407,14924,14,28898,4525,255,137.05,"2,619,107","566,592.00",27.60%
