,author,author_detail,authors,categories,guidislink,id,link,links,media_content,published,published_parsed,summary,summary_detail,tags,title,title_detail
0,,,,,False,https://www.pagina12.com.ar/216344-para-pablo-avelluto-el-hambre-es-un-slogan-de-campana,https://www.pagina12.com.ar/216344-para-pablo-avelluto-el-hambre-es-un-slogan-de-campana,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216344-para-pablo-avelluto-el-hambre-es-un-slogan-de-campana'}]",,,,,,,"Para Pablo Avelluto, el hambre es un ""slogan de campaña""","{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Para Pablo Avelluto, el hambre es un ""slogan de campaña""'}"
1,,,,,False,https://www.pagina12.com.ar/216333-paro-nacional-docente-tras-la-agresion-a-maestros-en-chubut,https://www.pagina12.com.ar/216333-paro-nacional-docente-tras-la-agresion-a-maestros-en-chubut,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216333-paro-nacional-docente-tras-la-agresion-a-maestros-en-chubut'}]",,,,Ctera convocó a la medida de fuerza luego del ataque sufrido por docentes chubutenses que fueron desalojados por petroleros durante un corte de ruta por salarios adeudados. El reclamo también es por la “gravísima situación” que atraviesan las escuelas producto de las políticas de ajuste de Macri.,"{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Ctera convocó a la medida de fuerza luego del ataque sufrido por docentes chubutenses que fueron desalojados por petroleros durante un corte de ruta por salarios adeudados. El reclamo también es\xa0por la “gravísima situación” que atraviesan las escuelas producto de las políticas de ajuste de Macri.'}",,Paro nacional docente tras la agresión a maestros en Chubut,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Paro nacional docente tras la agresión a maestros en Chubut'}"
2,,,,,False,https://www.pagina12.com.ar/216329-pidieron-la-captura-internacional-de-raul-martins,https://www.pagina12.com.ar/216329-pidieron-la-captura-internacional-de-raul-martins,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216329-pidieron-la-captura-internacional-de-raul-martins'}]",,,,El exagente de inteligencia acusado por su propia hija por explotación sexual de mujeres está en México y deberá ser apresado por Interpol. El pedido de arresto se produce tras la ratificación de su procesamiento por parte de la Cámara Federal porteña.,"{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'El exagente de inteligencia acusado por su propia hija por explotación sexual de mujeres está en México y deberá ser apresado por Interpol. El pedido de arresto se produce tras la ratificación de su procesamiento por parte de la Cámara Federal porteña.'}",,Pidieron la captura internacional de Raúl Martins,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Pidieron la captura internacional de Raúl Martins'}"
3,,,,,False,https://www.pagina12.com.ar/216327-un-cafe-amargo-para-maria-eugenia-vidal,https://www.pagina12.com.ar/216327-un-cafe-amargo-para-maria-eugenia-vidal,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216327-un-cafe-amargo-para-maria-eugenia-vidal'}]",,,,,,,Un café amargo para María Eugenia Vidal,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Un café amargo para María Eugenia Vidal'}"
4,,,,,False,https://www.pagina12.com.ar/216325-cortes-y-marchas-en-el-centro-porteno,https://www.pagina12.com.ar/216325-cortes-y-marchas-en-el-centro-porteno,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216325-cortes-y-marchas-en-el-centro-porteno'}]",,,,"Frente al ministerio de Desarrollo Social preparan un frazadazo y acampe, mientras que algunas agrupaciones concentran en el Obelisco y en el Congreso Nacional. Denuncian que en los comedores escolares y populares la comida no alcanza frente a la creciente demanda que reciben por el aumento del precio de los alimentos.","{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Frente al ministerio de Desarrollo Social preparan un frazadazo y acampe, mientras que algunas agrupaciones concentran en el Obelisco y en el Congreso Nacional.\xa0Denuncian que en los comedores escolares y populares la comida no alcanza frente a la creciente demanda que reciben por el aumento del precio de los alimentos.'}",,Cortes y marchas en el centro porteño,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Cortes y marchas en el centro porteño'}"
5,,,,,False,https://www.pagina12.com.ar/216244-las-rutas-siguen-cortadas,https://www.pagina12.com.ar/216244-las-rutas-siguen-cortadas,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216244-las-rutas-siguen-cortadas'}]",,,,,,,Las rutas siguen cortadas,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Las rutas siguen cortadas'}"
6,,,,,False,https://www.pagina12.com.ar/216255-la-cidh-de-visita-40-anos-despues,https://www.pagina12.com.ar/216255-la-cidh-de-visita-40-anos-despues,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216255-la-cidh-de-visita-40-anos-despues'}]",,,,"En el aniversario de su histórica visita en la dictadura, la Comisión participará de actividades sobre violencia y derechos humanos.","{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'En el aniversario de su histórica visita en la dictadura, la Comisión participará de actividades sobre violencia y derechos humanos.'}",,"La CIDH de visita, 40 años después","{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'La CIDH de visita, 40 años después'}"
7,,,,,False,https://www.pagina12.com.ar/216275-juicio-en-tucuman,https://www.pagina12.com.ar/216275-juicio-en-tucuman,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216275-juicio-en-tucuman'}]",,,,,,,Juicio en Tucumán,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Juicio en Tucumán'}"
8,,,,,False,https://www.pagina12.com.ar/216276-el-llamado-que-no-fue-para-avisar-del-cepo,https://www.pagina12.com.ar/216276-el-llamado-que-no-fue-para-avisar-del-cepo,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216276-el-llamado-que-no-fue-para-avisar-del-cepo'}]",,,,La versión la hizo circular ayer Presidencia. Pero cerca de Alberto Fernández dijeron que una estrategia del Gobierno para intentar mostrar las medidas como consensudas.,"{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'La versión la hizo circular ayer Presidencia. Pero cerca de Alberto Fernández dijeron que una estrategia del Gobierno para intentar mostrar las medidas como consensudas.'}",,El llamado que no fue para avisar del cepo,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'El llamado que no fue para avisar del cepo'}"
9,,,,,False,https://www.pagina12.com.ar/216118-ollas-populares-y-acampe-frente-a-desarrollo-social,https://www.pagina12.com.ar/216118-ollas-populares-y-acampe-frente-a-desarrollo-social,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216118-ollas-populares-y-acampe-frente-a-desarrollo-social'}]",,,,"Organizaciones sociales convocaron a una jornada de protesta este miércoles para exigir que el salario social aumente hasta 12.409 pesos, ingreso necesario para no ser indigente. Reclaman además alimentos para comedores y merenderos.","{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Organizaciones sociales convocaron a una jornada de protesta este miércoles para exigir que el salario social aumente hasta 12.409 pesos, ingreso necesario para no ser indigente. Reclaman además alimentos para comedores y merenderos.'}",,Ollas populares y acampe frente a Desarrollo Social,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Ollas populares y acampe frente a Desarrollo Social'}"
10,,,,,False,https://www.pagina12.com.ar/216277-stornelli-pide-elevar-skanska,https://www.pagina12.com.ar/216277-stornelli-pide-elevar-skanska,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216277-stornelli-pide-elevar-skanska'}]",,,,,,,Stornelli pide elevar Skanska,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Stornelli pide elevar Skanska'}"
11,,,,,False,https://www.pagina12.com.ar/216131-alberto-fernandez-nunca-doy-nada-por-ganado-hay-que-estar-tr,https://www.pagina12.com.ar/216131-alberto-fernandez-nunca-doy-nada-por-ganado-hay-que-estar-tr,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216131-alberto-fernandez-nunca-doy-nada-por-ganado-hay-que-estar-tr'}]",,,,"El ganador de las PASO se encuentra en Madrid. Allí dio clases en una universidad y se reunirá con el presidente español Pedro Sánchez y autoridades del socialismo. Después viajará a Portugal, donde podría mantener un encuentro con el primer ministro de ese país.","{'type': 'text/html', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'El ganador de las PASO se encuentra en Madrid. Allí dio clases en una universidad y se reunirá con el presidente español Pedro Sánchez y autoridades del socialismo. Después viajará a Portugal, donde podría mantener un encuentro con el primer ministro de ese país.'}",,"Alberto Fernández: ""Nunca doy nada por ganado, hay que estar tranquilo""","{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'Alberto Fernández: ""Nunca doy nada por ganado, hay que estar tranquilo""'}"
12,,,,,False,https://www.pagina12.com.ar/216279-el-gobierno-busca-acuerdos-por-la-deuda,https://www.pagina12.com.ar/216279-el-gobierno-busca-acuerdos-por-la-deuda,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.pagina12.com.ar/216279-el-gobierno-busca-acuerdos-por-la-deuda'}]",,,,,,,El Gobierno busca acuerdos por la deuda,"{'type': 'text/plain', 'language': None, 'base': 'https://www.pagina12.com.ar/rss/secciones/el-pais/notas', 'value': 'El Gobierno busca acuerdos por la deuda'}"
