id,title,link,published,summary,author
0,Pone Morena condiciones para presidencia de AN,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761363,"Wed, 04 Sep 2019 13:33:36 CDT","Mario Delgado, coordinador de Morena, dijo que apoyarán que PAN presida Cámara si proponen a alguien que no haya insultado a Muñoz Ledo.",Claudia Salazar
1,Caen tres marinos por huachicol,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761391,"Wed, 04 Sep 2019 13:55:58 CDT","Tres marinos fueron puestos a disposición de la FGR por presuntamente sustraer combustible de refinería en Salina Cruz, Oaxaca.",Benito Jiménez
2,Urge IP abasto de electricidad en Península,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761442,"Wed, 04 Sep 2019 14:43:05 CDT","En reunión con AMLO, empresarios de Yucatán advirtieron que, para que inversiones se logren, se debe garantizar suministro de electricidad.",Zedryk Raziel
3,Vota GB por frenar Brexit sin acuerdo,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761430,"Wed, 04 Sep 2019 14:19:01 CDT","Parlamento británico avanzó ley para bloquear una salida de la UE sin acuerdo, lo que aplazaría Brexit y podría llevar a nueva elección.",The NYT News Service
4,Las canciones que le han dedicado,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759875,"Wed, 04 Sep 2019 05:02:27 CDT","Músicos como Café Tacvba, Botellita de Jerez y Chava Flores tomaron al Metro como inspiración para sus canciones.",Arturo Sánchez
5,Recuerda el accidente más grave,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1759764,"Wed, 04 Sep 2019 05:02:27 CDT",El accidente más grave en la historia del Metro ocurrió el 20 de octubre de 1975 y causó la muerte de 67 pasajeros.,Arturo Sánchez
6,Van contra FGR y jueces por caso Iguala,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761047,"Wed, 04 Sep 2019 08:08:03 CDT",Gobierno interpondrá recursos legales para indagar a funcionarios de FGR y jueces que permitieron liberar a implicados en caso Iguala.,Claudia Guerrero
7,Advierte Moody's baja a nota del País,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761141,"Wed, 04 Sep 2019 10:19:50 CDT","Calificación soberana de México, actualmente en A3, podría ser degradada por menor crecimiento y presión fiscal de Pemex, advirtió Moody's.",Jorge Cano
8,Presenta Robles amparo contra vinculación,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761250,"Wed, 04 Sep 2019 11:58:02 CDT",Rosario Robles presentó un amparo contra su vinculación a proceso por 'Estafa Maestra'; acusa violación a sus garantías.,Rolando Herrera
9,Toca tierra 'Fernand' en Tamaulipas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761303,"Wed, 04 Sep 2019 12:45:49 CDT","La tormenta tropical 'Fernand' tocó tierra en Boca de Catán, Tamaulipas, a 55 km de La Pesca; su trayectoria apunta a Monterrey, NL.",Antonio Baranda y Mirna Ramos
10,Bajará suministro de agua en CDMX y ZMVM,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761211,"Wed, 04 Sep 2019 11:20:52 CDT","La próxima semana, CDMX y ZMVM dejarán de recibir dos mil litros por segundo de agua potable del Cutzamala, anunció Conagua.",Iván Sosa
11,Bloquean Circuito entre Ejes 5 y 6,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761327,"Wed, 04 Sep 2019 12:53:55 CDT",Comerciantes de la Central de Abastos bloquean ambos sentidos de Río Churubusco entre el Eje 6 Sur y Eje 5 Sur.,REFORMA / Redacción
12,Costará 40 mil mdp modernizar al Metro,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761248,"Wed, 04 Sep 2019 11:46:23 CDT","Dejar a punto el Sistema de Transporte Colectivo tendrá un costo de 40 mil millones de pesos, anunció Sheinbaum.",Dalila Sarabia
13,Mide Greenpeace contaminación en Centro,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761370,"Wed, 04 Sep 2019 13:38:29 CDT","Con un equipo de monitoreo montado en una bicicleta, Greenpeace midió la contaminación del aire en el Centro Histórico.",Iván Sosa
14,Supera CDMX límite de PM10,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760841,"Wed, 04 Sep 2019 05:02:28 CDT","De acuerdo a un estudio de expertos, habitantes de la CDMX respiran hasta cinco veces más PM10, al año, que el límite permisible de la OMS.",Iván Sosa
15,Achacan a pasajeros falta de reglas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760866,"Wed, 04 Sep 2019 05:02:28 CDT",Remeros consideran que regular el alcohol en trajineras es una regla insuficiente porque los pasajeros no respetan las indicaciones.,Samuel Luna
16,Propone PT aplazar ley de ambulantaje,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760912,"Wed, 04 Sep 2019 05:07:01 CDT","Circe Camacho, diputada del PT, busca cambiar el plazo que el Congreso tiene para aprobar una ley que regula a comerciantes ambulantes.",Israel Ortega
17,Exhortan a indagar nepotismo en Tribunal,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760871,"Wed, 04 Sep 2019 05:02:28 CDT","Contraloría interna del TSJ debería investigar redes familiares de jueces, magistrados y administrativos, expuso el diputado Carlos Castillo",Alejandro León
18,Busca Tabe poner calendario legislativo,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760892,"Wed, 04 Sep 2019 05:07:03 CDT","Para cumplir con más de 20 nombramientos y eliminar el rezago de dictámenes, el Congreso capitalino tendrá un calendario de aprobación.",Israel Ortega
19,Padecen violencia candidatas capitalinas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760913,"Wed, 04 Sep 2019 05:07:04 CDT","Durante el proceso electoral del año pasado, candidatas a concejalas y diputadas enfrentaron violencia económica y verbal.",Víctor Juárez
20,Obtiene amparo plagiario de Norberto,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761398,"Wed, 04 Sep 2019 14:00:39 CDT",José Emanuel Puebla León consiguió un amparo por el auto de vinculación a proceso por el delito de secuestro agravado de Norberto Ronquillo.,Cristina Hernández
21,Abandonan a tres bebés en la CDMX,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761358,"Wed, 04 Sep 2019 13:32:24 CDT","En menos de 24 horas, tres recién nacidos fueron abandonados en distintos puntos de la Ciudad de México.",Liliana Espitia
22,Hallan muerta a quinceañera en Ecatepec,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761330,"Wed, 04 Sep 2019 13:02:51 CDT","El cuerpo de una joven, de 15 años, fue hallado en inmueble de la Colonia Sagitario 8, en Ecatepec; había sido reportada como desaparecida.",Liliana Espitia
23,Operan dos grupos criminales en AO-.SSC,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761208,"Wed, 04 Sep 2019 11:18:46 CDT","En Álvaro Obregón dos grupos criminales controlan la venta de droga y comisión de delitos. Se trata de ""Los Canchola"" y ""Maestrin"".",Cristina Hernández
24,Intentan linchar a ladrón en Cuajimalpa,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761082,"Wed, 04 Sep 2019 08:53:49 CDT",Vecinos de Cuajimalpa intentaron linchar a un joven que ingresó a robar a la Parroquia del poblado San Pablo Chimalpa.,Elthon García
25,...Y lesionan a policía tras agresión,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761161,"Wed, 04 Sep 2019 10:32:50 CDT","Un policía de la SSC resultó con golpes, tras mediar en el intento de linchamiento, en San Pablo Chimalpa, en Cuajimalpa.",Cristina Hernández
26,Presentan obra internos del Reno,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761376,"Wed, 04 Sep 2019 13:43:51 CDT","Hombres privados de su libertad en el Reclusorio Norte presentaron la obra Tierra Libre, en el Teatro Helénico.",Cristina Hernández
27,Reanuda labores hospital de Iztacalco tras fuga,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761304,"Wed, 04 Sep 2019 12:43:54 CDT",Área de Urgencias del Hospital IMSS Troncoso reanudó actividades luego que pacientes fueran desalojados esta madrugada por una fuga de gas.,Dulce Soto
28,Atienden flamazo en la Cuauhtémoc,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761179,"Wed, 04 Sep 2019 10:57:45 CDT","Esta mañana se registró un flamazo por acumulación de gas en el interior del restaurante Las Cazuelas de Frida, en la Colonia Cuauhtémoc.",Liliana Espitia
29,Hallan a abogado muerto en hotel de BJ,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760249,"Tue, 03 Sep 2019 10:54:08 CDT","Un hombre de 29 años fue encontrado muerto en la habitación de un hotel, en Benito Juárez, donde habría ingresado con una mujer.",Cristina Hernández
30,Toca tierra 'Fernand' en Tamaulipas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761303,"Wed, 04 Sep 2019 12:45:49 CDT","La tormenta tropical 'Fernand' tocó tierra en Boca de Catán, Tamaulipas, a 55 km de La Pesca; su trayectoria apunta a Monterrey, NL.",Antonio Baranda y Mirna Ramos
31,Niega TEPJF presiones por 'Ley Bonilla',http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761452,"Wed, 04 Sep 2019 14:50:14 CDT","Felipe Fuentes, presidente de TEPJF, dijo que órgano no ha recibido presiones para resolver recurso que presentó Coparmex por 'Ley Bonilla'.",Mayolo López
32,Para CECyTE en 19 estados,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761322,"Wed, 04 Sep 2019 13:02:14 CDT",Trabajadores del CECyTE pararon labores en 19 estados en reclamo por el incumplimiento de la Federación en el pago de bonos y salarios.,Óscar Uscanga
33,Exigen restitución de Winckler como Fiscal,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761269,"Wed, 04 Sep 2019 12:36:28 CDT","Tras señalar 'golpe de Estado', el senador del PAN Damián Zepeda exigió la restitución inmediata del Fiscal de Veracruz, Jorge Winckler.",Mayolo López
34,Recapturan a asesino de activista en Chihuahua,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761138,"Wed, 04 Sep 2019 10:12:04 CDT",Autoridades de Chihuahua recapturaron al presunto homicida del activista rarámuri Juan Ontiveros Ramos luego de ser liberado en abril.,Pedro Sánchez / Corresponsal
35,Acusan a Policía de Coatzacoalcos,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760909,"Wed, 04 Sep 2019 05:02:28 CDT","La Policía de Coatzacoalcos opera con irregularidades, influyentismo, corrupción y presuntas ligas al crimen, acusaron mandos estatales.",Benito Jiménez
36,Cuenta Winckler con suspensión contra cese,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761193,"Wed, 04 Sep 2019 11:06:02 CDT","Juzgado federal otorgó en enero una suspensión definitiva a Jorge Winckler, Fiscal de Veracruz, ante intentos de destitución ajenos a ley.",Benito Jiménez
37,Deja 'Fernand' sin clases a NL y Tamaulipas,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1761100,"Wed, 04 Sep 2019 09:45:43 CDT",Autoridades de NL y Tamaulipas ordenaron suspender clases en todos los planteles escolares de la zona ante impacto de la tormenta 'Fernand'.,Antonio Baranda
38,Querían diputados beca de posgrado,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760916,"Wed, 04 Sep 2019 05:02:28 CDT","Aún con un sueldo de 109 mil 68 pesos al mes, tres diputados del Congreso de Jalisco pretendían obtener una beca para estudiar un posgrado.",Martín Aquino
39,Separan temporalmente a Fiscal de Veracruz,http://www.reforma.com/aplicaciones/articulo/default.aspx?id=1760625,"Tue, 03 Sep 2019 16:59:38 CDT",Congreso de Veracruz separó temporalmente del cargo al Fiscal Jorge Winckler por no cumplir con revalidación de certificado de confianza.,Benito Jiménez
